"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"#Septicemia (A40-A41)"	"GR113-010"	"1 year"	"1"	"2018"	"2018"	23	3912900	0.6
	"#Septicemia (A40-A41)"	"GR113-010"	"1 year"	"1"	"2019"	"2019"	27	3829599	0.7
	"#Septicemia (A40-A41)"	"GR113-010"	"1 year"	"1"	"2020"	"2020"	12	3773884	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"1 year"	"1"	"2021"	"2021"	15	3702936	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"1 year"	"1"	"2022 "	"2022"	18	3588817	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"2 years"	"2"	"2018"	"2018"	18	3991437	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"2 years"	"2"	"2019"	"2019"	12	3922044	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"2 years"	"2"	"2021"	"2021"	10	3767428	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"2 years"	"2"	"2022 "	"2022"	18	3693362	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"3 years"	"3"	"2020"	"2020"	15	3921526	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"3 years"	"3"	"2022 "	"2022"	14	3742836	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"4 years"	"4"	"2022 "	"2022"	10	3830225	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"5 years"	"5"	"2019"	"2019"	12	4028281	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"6 years"	"6"	"2022 "	"2022"	10	4008898	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"9 years"	"9"	"2018"	"2018"	10	4055278	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"14 years"	"14"	"2018"	"2018"	10	4167071	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"17 years"	"17"	"2018"	"2018"	11	4241936	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"17 years"	"17"	"2020"	"2020"	11	4164893	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"18 years"	"18"	"2022 "	"2022"	11	4326642	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"19 years"	"19"	"2018"	"2018"	11	4263601	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"19 years"	"19"	"2020"	"2020"	10	4272385	Unreliable
	"#Septicemia (A40-A41)"	"GR113-010"	"19 years"	"19"	"2022 "	"2022"	12	4295710	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"1 year"	"1"	"2018"	"2018"	39	3912900	1.0
