"Mechanism","Intent","Age","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Unintentional","1","2018","--","3,897,917","--","--","--"
"Cut/Pierce","Unintentional","2","2022","--","3,693,362","--","--","--"
"Cut/Pierce","Unintentional","2","2021","--","3,725,597","--","--","--"
"Cut/Pierce","Unintentional","2","2020","--","3,807,454","--","--","--"
"Cut/Pierce","Unintentional","2","2019","--","3,911,822","--","--","--"
"Cut/Pierce","Unintentional","3","2020","--","3,885,476","--","--","--"
"Cut/Pierce","Unintentional","3","2019","--","4,009,037","--","--","--"
"Cut/Pierce","Unintentional","3","2018","--","4,035,053","--","--","--"
"Cut/Pierce","Unintentional","4","2019","--","4,045,996","--","--","--"
"Cut/Pierce","Unintentional","4","2018","--","4,021,907","--","--","--"
"Cut/Pierce","Unintentional","5","2021","--","3,993,711","--","--","--"
"Cut/Pierce","Unintentional","5","2020","--","4,023,811","--","--","--"
"Cut/Pierce","Unintentional","7","2019","--","4,027,876","--","--","--"
"Cut/Pierce","Unintentional","8","2022","--","4,031,341","--","--","--"
"Cut/Pierce","Unintentional","8","2020","--","4,006,214","--","--","--"
"Cut/Pierce","Unintentional","10","2022","--","4,024,547","--","--","--"
"Cut/Pierce","Unintentional","10","2020","--","4,135,255","--","--","--"
"Cut/Pierce","Unintentional","11","2021","--","4,139,966","--","--","--"
"Cut/Pierce","Unintentional","11","2019","--","4,194,335","--","--","--"
"Cut/Pierce","Unintentional","12","2022","--","4,152,811","--","--","--"
"Cut/Pierce","Unintentional","12","2021","--","4,228,509","--","--","--"
"Cut/Pierce","Unintentional","12","2018","--","4,170,603","--","--","--"
"Cut/Pierce","Unintentional","13","2022","--","4,240,884","--","--","--"
"Cut/Pierce","Unintentional","13","2021","--","4,390,229","--","--","--"
"Cut/Pierce","Unintentional","13","2019","--","4,178,933","--","--","--"
"Cut/Pierce","Unintentional","15","2018","--","4,140,321","--","--","--"
"Cut/Pierce","Unintentional","16","2022","--","4,325,808","--","--","--"
"Cut/Pierce","Unintentional","16","2020","--","4,296,018","--","--","--"
"Cut/Pierce","Unintentional","17","2021","--","4,302,359","--","--","--"
"Cut/Pierce","Unintentional","17","2020","--","4,263,694","--","--","--"
"Cut/Pierce","Unintentional","18","2022","--","4,326,642","--","--","--"
"Cut/Pierce","Unintentional","19","2019","--","4,332,940","--","--","--"
"Cut/Pierce","Unintentional","19","2018","--","4,256,433","--","--","--"
"Cut/Pierce","Homicide","1","2022","--","3,588,817","--","--","--"
"Cut/Pierce","Homicide","1","2021","--","3,675,382","--","--","--"
"Cut/Pierce","Homicide","1","2020","--","3,719,267","--","--","--"
"Cut/Pierce","Homicide","1","2019","--","3,842,257","--","--","--"
"Cut/Pierce","Homicide","1","2018","--","3,897,917","--","--","--"
"Cut/Pierce","Homicide","2","2022","--","3,693,362","--","--","--"
"Cut/Pierce","Homicide","2","2021","--","3,725,597","--","--","--"
"Cut/Pierce","Homicide","2","2020","--","3,807,454","--","--","--"
"Cut/Pierce","Homicide","2","2019","--","3,911,822","--","--","--"
"Cut/Pierce","Homicide","2","2018","--","3,996,742","--","--","--"
