"Mechanism","Intent","Age","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Unintentional","1","2018",-1,"3,897,917",-1,-1,-1
"Cut/Pierce","Unintentional","2","2022",-1,"3,693,362",-1,-1,-1
"Cut/Pierce","Unintentional","2","2021",-1,"3,725,597",-1,-1,-1
"Cut/Pierce","Unintentional","2","2020",-1,"3,807,454",-1,-1,-1
"Cut/Pierce","Unintentional","2","2019",-1,"3,911,822",-1,-1,-1
"Cut/Pierce","Unintentional","3","2020",-1,"3,885,476",-1,-1,-1
"Cut/Pierce","Unintentional","3","2019",-1,"4,009,037",-1,-1,-1
"Cut/Pierce","Unintentional","3","2018",-1,"4,035,053",-1,-1,-1
"Cut/Pierce","Unintentional","4","2019",-1,"4,045,996",-1,-1,-1
"Cut/Pierce","Unintentional","4","2018",-1,"4,021,907",-1,-1,-1
"Cut/Pierce","Unintentional","5","2021",-1,"3,993,711",-1,-1,-1
"Cut/Pierce","Unintentional","5","2020",-1,"4,023,811",-1,-1,-1
"Cut/Pierce","Unintentional","7","2019",-1,"4,027,876",-1,-1,-1
"Cut/Pierce","Unintentional","8","2022",-1,"4,031,341",-1,-1,-1
"Cut/Pierce","Unintentional","8","2020",-1,"4,006,214",-1,-1,-1
"Cut/Pierce","Unintentional","10","2022",-1,"4,024,547",-1,-1,-1
"Cut/Pierce","Unintentional","10","2020",-1,"4,135,255",-1,-1,-1
"Cut/Pierce","Unintentional","11","2021",-1,"4,139,966",-1,-1,-1
"Cut/Pierce","Unintentional","11","2019",-1,"4,194,335",-1,-1,-1
"Cut/Pierce","Unintentional","12","2022",-1,"4,152,811",-1,-1,-1
"Cut/Pierce","Unintentional","12","2021",-1,"4,228,509",-1,-1,-1
"Cut/Pierce","Unintentional","12","2018",-1,"4,170,603",-1,-1,-1
"Cut/Pierce","Unintentional","13","2022",-1,"4,240,884",-1,-1,-1
"Cut/Pierce","Unintentional","13","2021",-1,"4,390,229",-1,-1,-1
"Cut/Pierce","Unintentional","13","2019",-1,"4,178,933",-1,-1,-1
"Cut/Pierce","Unintentional","15","2018",-1,"4,140,321",-1,-1,-1
"Cut/Pierce","Unintentional","16","2022",-1,"4,325,808",-1,-1,-1
"Cut/Pierce","Unintentional","16","2020",-1,"4,296,018",-1,-1,-1
"Cut/Pierce","Unintentional","17","2021",-1,"4,302,359",-1,-1,-1
"Cut/Pierce","Unintentional","17","2020",-1,"4,263,694",-1,-1,-1
"Cut/Pierce","Unintentional","18","2022",-1,"4,326,642",-1,-1,-1
"Cut/Pierce","Unintentional","19","2019",-1,"4,332,940",-1,-1,-1
"Cut/Pierce","Unintentional","19","2018",-1,"4,256,433",-1,-1,-1
"Cut/Pierce","Homicide","1","2022",-1,"3,588,817",-1,-1,-1
"Cut/Pierce","Homicide","1","2021",-1,"3,675,382",-1,-1,-1
"Cut/Pierce","Homicide","1","2020",-1,"3,719,267",-1,-1,-1
"Cut/Pierce","Homicide","1","2019",-1,"3,842,257",-1,-1,-1
"Cut/Pierce","Homicide","1","2018",-1,"3,897,917",-1,-1,-1
"Cut/Pierce","Homicide","2","2022",-1,"3,693,362",-1,-1,-1
"Cut/Pierce","Homicide","2","2021",-1,"3,725,597",-1,-1,-1
"Cut/Pierce","Homicide","2","2020",-1,"3,807,454",-1,-1,-1
"Cut/Pierce","Homicide","2","2019",-1,"3,911,822",-1,-1,-1
"Cut/Pierce","Homicide","2","2018",-1,"3,996,742",-1,-1,-1
"Cut/Pierce","Homicide","3","2022",-1,"3,742,836",-1,-1,-1
"Cut/Pierce","Homicide","3","2021",-1,"3,813,656",-1,-1,-1
"Cut/Pierce","Homicide","3","2020",-1,"3,885,476",-1,-1,-1
"Cut/Pierce","Homicide","3","2019",-1,"4,009,037",-1,-1,-1
"Cut/Pierce","Homicide","3","2018",-1,"4,035,053",-1,-1,-1
"Cut/Pierce","Homicide","4","2022",-1,"3,830,225",-1,-1,-1
"Cut/Pierce","Homicide","4","2021",-1,"3,891,463",-1,-1,-1
