"Mechanism","Intent","Age","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Motor vehicle, traffic","Unintentional","1","2022","83","3,588,817","2.31","--","5,312"
"Motor vehicle, traffic","Unintentional","1","2021","87","3,675,382","2.37","--","5,568"
"Motor vehicle, traffic","Unintentional","1","2020","77","3,719,267","2.07","--","4,928"
"Motor vehicle, traffic","Unintentional","1","2019","68","3,842,257","1.77","--","4,352"
"Motor vehicle, traffic","Unintentional","1","2018","79","3,897,917","2.03","--","5,056"
"Motor vehicle, traffic","Unintentional","2","2022","88","3,693,362","2.38","--","5,544"
"Motor vehicle, traffic","Unintentional","2","2021","73","3,725,597","1.96","--","4,599"
"Motor vehicle, traffic","Unintentional","2","2020","67","3,807,454","1.76","--","4,221"
"Motor vehicle, traffic","Unintentional","2","2019","68","3,911,822","1.74","--","4,284"
"Motor vehicle, traffic","Unintentional","2","2018","78","3,996,742","1.95","--","4,914"
"Motor vehicle, traffic","Unintentional","3","2022","71","3,742,836","1.90","--","4,402"
"Motor vehicle, traffic","Unintentional","3","2021","63","3,813,656","1.65","--","3,906"
"Motor vehicle, traffic","Unintentional","3","2020","69","3,885,476","1.78","--","4,278"
"Motor vehicle, traffic","Unintentional","3","2019","67","4,009,037","1.67","--","4,154"
"Motor vehicle, traffic","Unintentional","3","2018","74","4,035,053","1.83","--","4,588"
"Motor vehicle, traffic","Unintentional","4","2022","73","3,830,225","1.91","--","4,453"
"Motor vehicle, traffic","Unintentional","4","2021","86","3,891,463","2.21","--","5,246"
"Motor vehicle, traffic","Unintentional","4","2020","71","3,987,970","1.78","--","4,331"
"Motor vehicle, traffic","Unintentional","4","2019","78","4,045,996","1.93","--","4,758"
"Motor vehicle, traffic","Unintentional","4","2018","61","4,021,907","1.52","--","3,721"
"Motor vehicle, traffic","Unintentional","5","2022","63","3,907,298","1.61","--","3,780"
"Motor vehicle, traffic","Unintentional","5","2021","92","3,993,711","2.30","--","5,520"
"Motor vehicle, traffic","Unintentional","5","2020","67","4,023,811","1.67","--","4,020"
"Motor vehicle, traffic","Unintentional","5","2019","59","4,032,231","1.46","--","3,540"
"Motor vehicle, traffic","Unintentional","5","2018","79","4,012,789","1.97","--","4,740"
"Motor vehicle, traffic","Unintentional","6","2022","68","4,008,898","1.70","--","4,012"
"Motor vehicle, traffic","Unintentional","6","2021","85","4,029,311","2.11","--","5,015"
"Motor vehicle, traffic","Unintentional","6","2020","83","4,012,049","2.07","--","4,897"
"Motor vehicle, traffic","Unintentional","6","2019","81","4,022,432","2.01","--","4,779"
"Motor vehicle, traffic","Unintentional","6","2018","72","4,019,106","1.79","--","4,248"
"Motor vehicle, traffic","Unintentional","7","2022","58","4,043,729","1.43","--","3,364"
"Motor vehicle, traffic","Unintentional","7","2021","77","4,017,311","1.92","--","4,466"
"Motor vehicle, traffic","Unintentional","7","2020","67","3,999,001","1.68","--","3,886"
"Motor vehicle, traffic","Unintentional","7","2019","70","4,027,876","1.74","--","4,060"
"Motor vehicle, traffic","Unintentional","7","2018","53","4,063,647","1.30","--","3,074"
"Motor vehicle, traffic","Unintentional","8","2022","71","4,031,341","1.76","--","4,047"
"Motor vehicle, traffic","Unintentional","8","2021","66","4,004,132","1.65","--","3,762"
"Motor vehicle, traffic","Unintentional","8","2020","50","4,006,214","1.25","--","2,850"
"Motor vehicle, traffic","Unintentional","8","2019","64","4,071,894","1.57","--","3,648"
"Motor vehicle, traffic","Unintentional","8","2018","69","4,059,209","1.70","--","3,933"
"Motor vehicle, traffic","Unintentional","9","2022","70","4,017,929","1.74","--","3,920"
